sex,init_bmi,chng_bmi,age,n_microbiol,pancreatic_enzyme_suppl,lag_fev,lag_bmi,pred,lower,upper,ageg,vary,weight_cat
F,14.2,16.1,10,14.521808818119705,TRUE,70,30.3,17.921378901674373,13.785910352296305,22.05684745105244,Child,Change in BMI,Underweight
F,14.2,16.2,10,14.521808818119705,TRUE,70,30.4,17.886083760599234,13.706751312186672,22.065416209011797,Child,Change in BMI,Underweight
F,14.2,16.3,10,14.521808818119705,TRUE,70,30.5,17.84977452911523,13.626463350240162,22.0730857079903,Child,Change in BMI,Underweight
F,14.2,16.400000000000002,10,14.521808818119705,TRUE,70,30.6,17.812463724388174,13.54505468495886,22.079872763817487,Child,Change in BMI,Underweight
F,14.2,16.5,10,14.521808818119705,TRUE,70,30.7,17.774163774719796,13.462533200156576,22.085794349283013,Child,Change in BMI,Underweight
F,14.2,16.6,10,14.521808818119705,TRUE,70,30.8,17.734887019547795,13.37890644649477,22.09086759260082,Child,Change in BMI,Underweight
F,14.2,16.7,10,14.521808818119705,TRUE,70,30.9,17.694645709445812,13.294181643129182,22.09510977576244,Child,Change in BMI,Underweight
F,14.2,16.8,10,14.521808818119705,TRUE,70,31,17.65345200612339,13.208365679472596,22.098538332774186,Child,Change in BMI,Underweight
F,14.2,16.900000000000002,10,14.521808818119705,TRUE,70,31.1,17.611317982426034,13.12146511707893,22.101170847773137,Child,Change in BMI,Underweight
F,14.2,17,10,14.521808818119705,TRUE,70,31.2,17.56825562233517,13.033486191653328,22.10302505301701,Child,Change in BMI,Underweight
F,14.2,17.1,10,14.521808818119705,TRUE,70,31.3,17.52427682096817,12.944434815193068,22.104118826743267,Child,Change in BMI,Underweight
F,14.2,17.2,10,14.521808818119705,TRUE,70,31.4,17.479393384578348,12.854316578263658,22.10447019089304,Child,Change in BMI,Underweight
F,14.2,17.3,10,14.521808818119705,TRUE,70,31.5,17.433617030554935,12.763136752414212,22.104097308695657,Child,Change in BMI,Underweight
